"dataset","source","yi","vi","logor","or","ub","lb","menopause","period","year","cases","weight"
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0769610411361284,0.0206350586163235,0.0769610411361284,1.08,1.44,0.82,1,1977,1979,122,48.461214411523
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.198850858745165,0.0587799626127336,0.198850858745165,1.22,1.94,0.75,1,1977,1979,35,17.0126001370298
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.3293037471426,0.0535562221209605,0.3293037471426,1.39,2.18,0.88,1,1977,1979,53,18.6719667743074
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.262364264467491,0.072894191961618,0.262364264467491,1.3,2.19,0.76,1,1977,1979,35,13.7185140967959
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.300104592450338,0.0356760466822344,0.300104592450338,1.35,1.95,0.93,1,1977,1979,60,28.0300115342648
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.53062825106217,0.088250735192588,0.53062825106217,1.7,2.98,0.93,1,1979,1981,17,11.331350360059
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.510825623765991,0.134335641681837,-0.510825623765991,0.6,1.22,0.29,1,1979,1981,9,7.44404081806093
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.916290731874155,0.258350938176277,-0.916290731874155,0.4,1.1,0.15,1,1979,1981,4,3.87070396205678
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.182321556793955,0.102136657484053,0.182321556793955,1.2,2.1,0.6,1,1978,1982,12,9.79080405246402
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.134029003749203,0,1,2.1,0.5,1,1978,1982,7,7.46107164887398
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.22314355131421,0.0689917680833627,-0.22314355131421,0.8,1.4,0.5,1,1978,1982,17,14.4944828605016
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.0943106794712413,0.0208480010304128,-0.0943106794712413,0.91,1.18,0.67,1,1977,1982,113,47.9662294021001
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.207014169384326,0.0159265257750797,0.207014169384326,1.23,1.23,0.75,1,1977,1982,36,62.7883327552018
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.418710334858185,0.0785475659865654,0.418710334858185,1.52,2.61,0.87,1,1977,1982,35,12.7311392458811
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0392207131532813,0.0793039665775996,0.0392207131532813,1.04,1.9,0.63,1,1977,1982,29,12.6097097428474
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.0304592074847086,0.046475302970841,-0.0304592074847086,0.97,1.49,0.64,0,1976,1983,43,21.516804325674
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.22314355131421,0.0617791918059378,0.22314355131421,1.25,2.04,0.77,0,1976,1983,32,16.1866798636865
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0953101798043249,0.0830800614145901,0.0953101798043249,1.1,1.95,0.63,0,1976,1983,22,12.0365823396513
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.165514438477573,0.0122264314773041,0.165514438477573,1.18,1.45,0.94,0,1976,1983,36,81.79001386106
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0769610411361284,0.0744336694085075,0.0769610411361284,1.08,1.69,0.58,0,1978,1981,75,13.4347803614489
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.444685821261446,0.0843486242664277,0.444685821261446,1.56,2.56,0.82,0,1978,1981,60,11.8555579145115
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.127833371509885,0.0158355501264448,-0.127833371509885,0.88,1.13,0.69,1,1980,1983,203,63.1490533650634
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.00995033085316809,0.0203809180785385,0.00995033085316809,1.01,1.33,0.76,1,1980,1983,145,49.0655031410494
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.148420005118273,0.0264974553517879,0.148420005118273,1.16,1.59,0.84,1,1980,1983,123,37.7394729691478
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.0100503358535015,0.0387904389627895,-0.0100503358535015,0.99,1.45,0.67,1,1980,1983,66,25.7795484335527
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.105360515657826,0.0132951153208062,-0.105360515657826,0.9,1.1,0.7,1,1981,1984,98,75.2155942893587
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.105360515657826,0.0106991875721486,-0.105360515657826,0.9,1.2,0.8,1,1981,1984,127,93.4650405235561
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.262364264467491,0.0183241806022029,0.262364264467491,1.3,1.7,1,1,1981,1984,88,54.5726994133524
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.22314355131421,0.0594176694450057,-0.22314355131421,0.8,1.3,0.5,1,1981,1984,25,16.8300104891451
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.356674943938732,0.0785475659865654,-0.356674943938732,0.7,1.2,0.4,0,1983,1986,35,12.7311392458811
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.336472236621213,0.11205594018817,0.336472236621213,1.4,2.6,0.7,0,1983,1986,46,8.92411413728492
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.22314355131421,0.125070457954665,-0.22314355131421,0.8,1.6,0.4,0,1983,1986,26,7.99549323120313
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.405465108108164,0.234225095533048,0.405465108108164,1.5,4,0.6,0,1983,1986,22,4.26939734072562
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.336472236621213,0.182365426192893,0.336472236621213,1.4,3.2,0.6,0,1983,1986,18,5.48349553353534
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0953101798043249,0.0312676144886663,0.0953101798043249,1.1,1.6,0.8,0,1985,1986,156,31.9819729248125
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.182321556793955,0.0486937776625179,0.182321556793955,1.2,1.9,0.8,0,1985,1986,80,20.5365048267707
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.336472236621213,0.0725796697846425,0.336472236621213,1.4,2.3,0.8,0,1985,1986,51,13.7779629332455
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.78845736036427,0.0943359398874498,0.78845736036427,2.2,4,1.2,0,1985,1986,39,10.6004138104001
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.0864691068321614,0,1,1.9,0.6,1,1982,1986,31,11.5648239774354
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.356674943938732,0.168574655806943,-0.356674943938732,0.7,1.5,0.3,1,1982,1986,15,5.93208982224012
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.125070457954665,0,1,2,0.5,1,1982,1986,17,7.99549323120313
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0198026272961797,0.0300355728450245,0.0198026272961797,1.02,1.44,0.73,1,1985,1986,63,33.2938547621426
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0676586484738149,0.0464963949017995,0.0676586484738149,1.07,1.63,0.7,1,1985,1986,41,21.5070437635434
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0953101798043249,0.00216331552825059,0.0953101798043249,1.1,1.2,1,1,1985,1986,107,462.253419319127
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.174353387144778,0.000902836925759767,-0.174353387144778,0.84,0.9,0.8,1,1985,1986,92,1107.61973892291
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.27443684570176,0.00116040765035603,-0.27443684570176,0.76,0.8,0.7,1,1985,1986,48,861.766121322266
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.037801879835659,0,1,1.5,0.7,1,1985,1986,63,26.4537108828299
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.182321556793955,0.125070457954665,0.182321556793955,1.2,2.4,0.6,1,1984,1987,13,7.99549323120313
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.22314355131421,0.113696292350967,-0.22314355131421,0.8,1.5,0.4,1,1984,1987,12,8.79536156652422
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.693147180559945,0.129565637229733,0.693147180559945,2,4.1,1,1,1984,1987,14,7.71809579593162
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.182321556793955,0.117508943462109,0.182321556793955,1.2,2.3,0.6,1,1984,1987,13,8.50999056359022
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.228015159929559,0,1,2.6,0.4,1,1984,1987,6,4.38567330483172
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.105360515657826,0.00659988715205018,-0.105360515657826,0.9,1.1,0.8,1,1982,1986,439,151.517742191904
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.105360515657826,0.00659988715205018,-0.105360515657826,0.9,1.1,0.8,1,1982,1986,439,151.517742191904
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.00659988715205018,0,1,1.1,0.8,1,1982,1986,962,151.517742191904
"dosresmeta::oc_breast::oc_breast","dosresmeta",0,0.00538603813506437,0,1,1.2,0.9,1,1982,1986,962,185.665228303856
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.0953101798043249,0.00880014079480484,0.0953101798043249,1.1,1.3,0.9,1,1982,1986,326,113.63454555072
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.510825623765991,0.0427967502885946,-0.510825623765991,0.6,0.9,0.4,1,1982,1986,40,23.366260130889
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.113328685307003,0.0417035170654439,0.113328685307003,1.12,1.67,0.75,0,1984,1987,117,23.9787929260435
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.182321556793955,0.0479344891703299,0.182321556793955,1.2,1.84,0.78,0,1984,1987,102,20.8618057125134
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.576613364303994,0.156697618196993,0.576613364303994,1.78,3.87,0.82,0,1984,1987,21,6.38171793232265
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.2484613592985,0.0229250688905857,-0.2484613592985,0.78,1.05,0.58,1,1984,1987,101,43.6203705547274
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.048790164169432,0.0438030767310837,0.048790164169432,1.05,1.59,0.7,1,1984,1987,70,22.8294465737923
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.174353387144778,0.152224050908995,-0.174353387144778,0.84,1.8,0.39,1,1984,1987,13,6.56926414734445
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.916290731874155,0.179883809075409,0.916290731874155,2.5,5.8,1.1,0,1986,1989,24,5.55914401157021
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.587786664902119,0.120038993277242,0.587786664902119,1.8,3.5,0.9,0,1986,1989,40,8.33062634647728
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.587786664902119,0.0611575890918181,0.587786664902119,1.8,2.9,1.1,0,1986,1989,107,16.3512004781396
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.641853886172395,0.0785475659865654,0.641853886172395,1.9,3.3,1.1,0,1986,1989,52,12.7311392458811
"dosresmeta::oc_breast::oc_breast","dosresmeta",1.41098697371026,0.175513526262422,1.41098697371026,4.1,9.3,1.8,0,1986,1989,26,5.69756657105069
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.356674943938732,0.19581368444878,-0.356674943938732,0.7,1.7,0.3,0,1983,1989,36,5.10689537769038
"dosresmeta::oc_breast::oc_breast","dosresmeta",-0.356674943938732,0.208931173378315,-0.356674943938732,0.7,1.8,0.3,0,1983,1989,25,4.78626517924774
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.336472236621213,0.388202719305663,0.336472236621213,1.4,4.6,0.4,0,1983,1989,17,2.57597371236501
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.598836501088704,0.051007237796496,0.598836501088704,1.82,2.86,1.18,0,1985,1989,25,19.6050608344978
"dosresmeta::oc_breast::oc_breast","dosresmeta",0.576613364303994,0.0956274649731386,0.576613364303994,1.78,3.26,0.97,0,1985,1989,118,10.4572467782231
