"dataset","source","yi","vi","hrs","homework","type","n2i","year","ets","n1i","outcome","weight"
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.13,0.136,7.5,0,1,13,1966,1,17,"math",7.35294117647059
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.26,0.1344,7.5,0,1,12,1966,1,20,"math",7.44047619047619
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.47,0.1303,7.5,0,1,13,1966,1,20,"math",7.67459708365311
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.13,0.1216,24,1,1,17,1988,0,16,"verbal",8.22368421052632
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.48,0.1248,24,1,1,17,1988,0,16,"math",8.01282051282051
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.5,0.0825,50,1,2,25,1986,0,25,"verbal",12.1212121212121
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.74,0.0855,50,1,2,25,1986,0,25,"verbal",11.6959064327485
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.23,0.2517,18,0,2,8,1987,0,8,"verbal",3.97298371076679
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.33,0.2534,18,0,2,8,1987,0,8,"math",3.94632991318074
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.13,0.0933,15,0,2,21,1985,0,22,"verbal",10.7181136120043
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.13,0.0933,15,0,2,21,1985,0,22,"math",10.7181136120043
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.13,0.0445,30,0,2,45,1960,0,45,"verbal",22.4719101123596
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.34,0.0451,30,0,2,45,1960,0,45,"math",22.1729490022173
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.06,0.0527,20,1,2,38,1979,0,38,"verbal",18.9753320683112
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.09,0.0385,10,1,2,52,1962,1,52,"verbal",25.974025974026
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.11,0.0401,10,1,2,50,1962,1,50,"math",24.9376558603491
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.1,0.1066,6,0,3,17,1988,0,21,"verbal",9.38086303939962
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.08,0.1065,6,0,3,17,1988,0,21,"math",9.38967136150235
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.14,0.1007,6,0,3,17,1988,0,24,"verbal",9.9304865938431
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.29,0.1015,6,0,3,17,1988,0,24,"math",9.85221674876847
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.16,0.1092,6,0,3,17,1988,0,20,"verbal",9.15750915750916
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.34,0.1104,6,0,3,17,1988,0,20,"math",9.05797101449275
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.07,0.1089,6,0,3,17,1988,0,20,"verbal",9.18273645546373
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.06,0.1089,6,0,3,17,1988,0,20,"math",9.18273645546373
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.02,0.0186,15,1,3,526,1958,1,60,"verbal",53.7634408602151
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.21,0.0186,15,1,3,526,1958,1,60,"math",53.7634408602151
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.06,0.0096,15,1,3,193,1953,1,225,"verbal",104.166666666667
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.17,0.0097,15,1,3,193,1953,1,225,"math",103.092783505155
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.06,0.0154,4.5,1,3,158,1955,1,110,"verbal",64.9350649350649
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.2,0.0126,15,1,3,158,1955,1,161,"math",79.3650793650794
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.15,0.0067,40,0,3,684,1978,0,192,"verbal",149.253731343284
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.03,0.0067,40,0,3,684,1978,0,192,"math",149.253731343284
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.17,0.1029,14,0,3,25,1976,0,16,"verbal",9.71817298347911
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.19,0.1029,14,0,3,25,1976,0,16,"math",9.71817298347911
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.02,0.0385,NA,1,3,82,1961,1,38,"verbal",25.974025974026
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.1,0.0386,NA,1,3,82,1961,1,38,"math",25.9067357512953
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",-0.04,0.032,63,1,3,47,1987,0,93,"verbal",31.25
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.6,0.0333,63,1,3,47,1987,0,93,"math",30.03003003003
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.4,0.1699,18,0,3,15,1992,0,10,"verbal",5.88581518540318
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.54,0.0797,27,1,3,34,1988,0,21,"verbal",12.5470514429109
"metadat::dat.kalaian1996::dat.kalaian1996","metadat",0.57,0.08,27,1,3,34,1988,0,21,"math",12.5
