"dataset","source","yi","vi","logrr","dose","peryears","cases","weight"
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.309089988470078,0.276630001191065,0.309089988470078,58.4000015258789,6735.47021484375,4,3.61493690378619
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.0417000018060207,0.0144300002739471,0.0417000018060207,1.79999995231628,213956.203125,136,69.3000679844386
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.167520001530647,0.0218799994645828,-0.167520001530647,9.5,132975.234375,72,45.7038402408877
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.126230001449585,0.0460600021517761,-0.126230001449585,19.5,44705,27,21.7108109701085
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.202549993991852,0.0532999975499174,0.202549993991852,35.9000015258789,24415.609375,23,18.7617269412342
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.508970022201538,0.103200006157067,0.508970022201538,57.5999984741211,8612.83984375,11,9.68992190250488
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.180370002985001,0.0180999989381983,-0.180370002985001,1.53199994564056,4099.27978515625,155,55.2486220255847
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0277999993413687,0.0286699998840149,-0.0277999993413687,9.30200004577637,2032.90002441406,93,34.879665296321
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0262000001966953,0.0449399996751233,-0.0262000001966953,21.0499992370605,966.799987792969,44,22.2518915716315
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.414400011301041,0.117009997822834,0.414400011301041,33.2599983215332,294.619995117188,15,8.54627825490702
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.880789995193481,0.229779994543979,0.880789995193481,50.3279991149902,100.019996643066,9,4.35198896224451
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.259869992733002,0.0300600000060039,0.259869992733002,2.23900008201599,2144.72998046875,147,33.2667997272213
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.165069997310638,0.028979998536415,-0.165069997310638,9.42700004577637,2984.30004882812,138,34.506557988381
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.132129997014999,0.0289300014473979,0.132129997014999,22.2574996948242,2445.080078125,151,34.5661925326293
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.354079991579056,0.0449599977717255,0.354079991579056,36.2540016174316,935.619995117188,75,22.2419939849036
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.430970013141632,0.0628099997763665,0.430970013141632,56.2314987182617,552.840026855469,44,15.9210317395395
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.0721200034022331,0.0215700009128314,-0.0721200034022331,0.96670001745224,97699.7578125,205,46.3606841761944
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.0829500034451485,0.026240002742398,0.0829500034451485,11.3999996185303,46455.921875,109,38.10975211463
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.177049994468689,0.0321500005599172,0.177049994468689,22.7999992370605,27467.9609375,69,31.1041985251703
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",-0.138349995017052,0.0738900056269961,-0.138349995017052,34.2000007629395,10278.599609375,18,13.5336300425811
"dosresmeta::alcohol_crc::alcohol_crc","dosresmeta",0.360430002212524,0.0536400032468985,0.360430002212524,57,10783.5302734375,29,18.6428027492303
