"dataset","source","yi","vi","rxxi","ryyi","weight"
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.37688590118819,0.00211416490486258,0.79,0.75,473
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.140925576070494,0.00171821305841924,0.81,0.76,582
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.549306144334055,0.00248138957816377,0.85,0.8,403
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.484700278594052,0.00272479564032698,0.82,0.79,367
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.549306144334055,0.00225733634311512,0.77,0.7,443
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.632833186665638,0.00198019801980198,0.87,0.81,505
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.00226757369614512,0.74,0.85,441
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.354092528962243,0.00257731958762887,0.89,0.81,388
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.0026246719160105,0.78,0.79,381
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.354092528962243,0.00210084033613445,0.72,0.71,476
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.151140435936467,0.00148588410104012,0.72,0.83,673
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.266108406873654,0.0018018018018018,0.87,0.67,555
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.223656109021832,0.00136612021857923,0.87,0.79,732
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.618381313574464,0.00178890876565295,0.86,0.86,559
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.758173744684044,0.00210526315789474,0.87,0.86,475
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.447692023527421,0.00191204588910134,0.8,0.81,523
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.758173744684044,0.00189753320683112,0.89,0.82,527
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.365443754271396,0.0027027027027027,0.79,0.8,370
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.202732554054082,0.00272479564032698,0.8,0.81,367
"psychmeta::data_r_meas::data_r_meas","psychmeta",0,0.00191570881226054,0.81,0.71,522
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0902441878561468,0.00191570881226054,0.82,0.79,522
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.618381313574464,0.0021505376344086,0.85,0.8,465
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.223656109021832,0.0017636684303351,0.79,0.79,567
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.37688590118819,0.00161290322580645,0.84,0.71,620
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00155038759689922,0.81,0.83,645
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.255412811882995,0.0014792899408284,0.84,0.77,676
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.234189466759367,0.00251256281407035,0.8,0.83,398
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.388423099718296,0.0019047619047619,0.79,0.82,525
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.140925576070494,0.00246913580246914,0.73,0.82,405
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.708921359427408,0.00205761316872428,0.77,0.84,486
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.484700278594052,0.00210084033613445,0.83,0.78,476
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.775298706205584,0.00205338809034908,0.71,0.81,487
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0300090048631265,0.00252525252525253,0.8,0.79,396
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.320545409301946,0.0021551724137931,0.7,0.85,464
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.0902441878561468,0.00188323917137476,0.83,0.76,531
"psychmeta::data_r_meas::data_r_meas","psychmeta",0.522984277591344,0.00251889168765743,0.82,0.73,397
