"dataset","source","yi","vi","n2","n_total","n1","domain","miyake","es_id","weight"
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.507382786,0.289504453,48,96,48,"processing speed","no",26,3.4541783023973
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.618208399,0.13830712,48,96,48,"processing speed","no",27,7.23028575824585
"psymetadata::maldonado2020::maldonado2020","psymetadata",4.542512063,2.356567277,10,55,45,"shifting","no",28,0.424346043399634
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.020844649,932.0980384,20,40,20,"shifting","no",29,0.00107284851893537
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.03071587,0.953572946,15,78,63,"processing speed","no",30,1.04868746978902
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.43917151,0.151161871,15,78,63,"updating","no",31,6.61542486464725
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.094358079,1.011909095,15,78,63,"updating","no",32,0.988231062395975
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.344183829,0.073395874,50,100,50,"shifting","no",33,13.6247440830257
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.259671549,0.779154637,50,100,50,"processing speed","no",34,1.28344227514364
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.573859351,0.668795391,99,207,108,"processing speed","no",35,1.49522561527342
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.75699027,0.695528123,99,207,108,"processing speed","no",36,1.43775638530148
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.479785434,39.31093548,99,207,108,"inhibition","no",37,0.0254382142726867
"psymetadata::maldonado2020::maldonado2020","psymetadata",8.786653664,0.285402245,16,34,18,"processing speed","no",38,3.50382667802771
"psymetadata::maldonado2020::maldonado2020","psymetadata",6.715826801,3.633146279,16,34,18,"shifting","no",39,0.275243528117795
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.043668283,0.097481399,22,40,18,"shifting","no",40,10.2583673424712
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.920929149,1.092020314,22,40,18,"processing speed","no",41,0.915733880752698
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.662601601,0.014752061,110,285,175,"updating","yes",42,67.7871383530749
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.957844618,0.01476384,110,285,175,"updating","yes",43,67.7330558987364
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.362671811,0.014747872,110,285,175,"inhibition","yes",44,67.8063926782115
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.242003645,0.127849677,184,406,222,"processing speed","no",45,7.82168577555343
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.210623923,1.285016429,184,406,222,"shifting","no",46,0.778200167275838
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.716082206,0.171538791,14,29,15,"updating","no",47,5.82958521609261
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.004694975,0.758729818,14,29,15,"updating","no",48,1.31799222368245
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.004694975,0.758729818,14,29,15,"processing speed","no",49,1.31799222368245
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.449767478,0.368769269,14,29,15,"updating","no",50,2.71172270593947
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.879716349,1.128424902,39,67,28,"processing speed","no",51,0.886191006798608
"psymetadata::maldonado2020::maldonado2020","psymetadata",3.004461574,15.58125453,39,67,28,"processing speed","no",52,0.0641796845096529
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.35669904,11.00829922,39,67,28,"processing speed","no",53,0.0908405540233853
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.149889382,0.565756869,39,67,28,"inhibition","yes",54,1.76754371850145
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.189129444,65.66257469,39,67,28,"inhibition","yes",55,0.0152293754048041
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.769779352,18.76751765,39,67,28,"inhibition","no",56,0.0532835518606799
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.317970845,0.423812147,39,67,28,"updating","no",57,2.35953595733064
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.373553657,0.528452726,39,67,28,"updating","no",58,1.89231685409075
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.254193103,0.065773737,39,67,28,"inhibition","yes",59,15.2036366734036
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.263487998,368.6228787,39,67,28,"shifting","no",60,0.00271279960572887
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.577298056,46.24529895,39,67,28,"shifting","no",61,0.0216238195601501
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.367397084,0.409563358,39,67,28,"shifting","yes",62,2.44162467287906
"psymetadata::maldonado2020::maldonado2020","psymetadata",-1.334017593,0.962660596,36,72,36,"processing speed","no",63,1.03878771412806
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.478818429,1.332379546,36,72,36,"updating","no",64,0.750536889433756
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.036524554,0.503039985,36,72,36,"updating","no",65,1.98791354528209
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.331797891,0.056548042,36,72,36,"shifting","yes",66,17.6840782568564
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.017753774,0.89835401,36,72,36,"updating","no",67,1.11314692077792
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.176651306,0.067687209,36,72,36,"updating","no",68,14.7738400618646
"psymetadata::maldonado2020::maldonado2020","psymetadata",18.97167556,0.106250283,18,36,18,"shifting","yes",69,9.41173963743701
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.655280576,0.40954614,14,28,14,"shifting","yes",70,2.44172732283596
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.333597708,0.134745768,14,28,14,"inhibition","yes",71,7.42138335654445
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.767655239,0.802368777,14,28,14,"updating","no",72,1.24630971277189
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.402886502,0.501066256,28,53,25,"shifting","yes",73,1.99574405186048
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.389209828,0.073570797,28,53,25,"inhibition","yes",74,13.5923496927728
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.584754038,0.543020821,28,53,25,"updating","no",75,1.84155001305189
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.596989499,27.91640162,29,55,26,"inhibition","no",76,0.035821235616684
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.162179198,2.363047875,17,34,17,"processing speed","no",77,0.42318228529331
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.729803256,0.17559201,17,34,17,"updating","no",78,5.69501994993964
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.070426671,2.198825535,17,34,17,"updating","no",79,0.454788242214951
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.776623906,0.510512214,17,34,17,"updating","no",80,1.95881699316209
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.024982004,2.262049173,17,34,17,"shifting","no",81,0.442077038791234
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.326903449,0.784300464,17,34,17,"inhibition","yes",82,1.27502155857452
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.115639973,0.118149725,20,40,20,"updating","no",83,8.46383688155009
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.028733591,0.118421712,20,40,20,"updating","no",84,8.44439742603958
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.774877489,0.041660917,54,100,46,"shifting","yes",85,24.0033122650661
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.388980544,0.16278069,54,100,46,"updating","no",86,6.14323480260466
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.752012739,0.185207542,54,100,46,"updating","no",87,5.39934815397528
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.090398611,0.054831462,54,100,46,"processing speed","no",88,18.2377044770391
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.573683322,0.068051242,54,100,46,"processing speed","no",89,14.6948089499968
"psymetadata::maldonado2020::maldonado2020","psymetadata",3.412821487,0.104682588,54,100,46,"processing speed","no",90,9.5526870237484
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.1921459,0.174179597,20,40,20,"processing speed","no",91,5.74120056093596
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.430174245,11.15463774,16,32,16,"shifting","no",92,0.0896488100562914
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.338338214,0.889045265,16,32,16,"updating","no",93,1.12480212129582
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.702256083,0.3121606,16,32,16,"updating","no",94,3.20347923472725
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.787114846,1.850544453,16,32,16,"processing speed","no",95,0.540381506847272
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.358106223,112.8473559,16,32,16,"inhibition","no",96,0.00886152796425423
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.29797084,1.095989262,30,60,30,"processing speed","no",97,0.912417698486539
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.110352275,3.237859678,30,60,30,"shifting","no",98,0.308845996877077
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.509227473,0.099864692,30,60,30,"updating","no",99,10.013549133061
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.210868141,0.093404564,30,60,30,"updating","no",100,10.7061149602925
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.366927359,0.113367712,73,128,55,"shifting","yes",101,8.82085368363084
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.51116704,0.130779048,73,128,55,"updating","no",102,7.64648477942736
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.527596941,0.094248032,73,128,55,"updating","no",103,10.6103011254389
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.813298847,39.80401785,21,45,24,"processing speed","no",104,0.0251230919393229
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.014892115,155.3952765,21,45,24,"processing speed","no",105,0.00643520203781741
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.716094784,220.8024302,21,45,24,"inhibition","no",106,0.00452893566023804
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.082390464,577.9551751,21,45,24,"inhibition","no",107,0.00173023798917793
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.631156763,456.8933596,21,45,24,"inhibition","yes",108,0.00218869453667586
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.549921691,64.15784016,21,45,24,"inhibition","yes",109,0.0155865596083994
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.44322815,41.33298057,20,40,20,"inhibition","no",110,0.0241937548710391
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.500469194,0.155576457,12,24,12,"updating","no",111,6.42770776043576
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.845277072,0.155798831,12,24,12,"updating","no",112,6.41853339708306
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.854398389,44.2253091,19,41,22,"inhibition","no",113,0.0226114869596242
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.23620524,3.392319331,40,80,40,"inhibition","no",114,0.294783569123847
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.722778704,0.355066118,18,36,18,"updating","no",115,2.81637686420984
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.469611704,2.504650206,18,36,18,"processing speed","no",116,0.399257348433109
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.312889529,26.35569218,18,36,18,"shifting","no",117,0.0379424677284268
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.927601447,0.111539095,18,36,18,"inhibition","yes",118,8.96546632371367
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.126070718,2.41455583,18,36,18,"updating","no",119,0.414154846856451
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.104615315,2.233769547,18,36,18,"updating","yes",120,0.447673754592555
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.991114758,0.686363786,18,36,18,"updating","no",121,1.45695332474898
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.146681514,749.7103354,22,48,26,"processing speed","no",122,0.00133384849158637
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.231037463,0.087929992,24,48,24,"updating","no",123,11.3726838505797
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.300385534,0.090348697,24,48,24,"updating","no",124,11.0682282446198
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.573114564,0.655317791,24,48,24,"updating","no",125,1.5259771880663
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.662561061,201.6183761,24,48,24,"inhibition","no",126,0.00495986536219304
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.592095265,234.2236698,24,48,24,"inhibition","no",127,0.00426942332879459
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.205324004,0.193949879,24,48,24,"inhibition","no",128,5.15597124966497
"psymetadata::maldonado2020::maldonado2020","psymetadata",4.130737968,1.98923505,14,28,14,"inhibition","yes",129,0.502705801408436
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.530621516,0.110895108,23,44,21,"updating","no",130,9.0175303314552
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.081492185,0.116483665,23,44,21,"updating","no",131,8.5848947146366
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.805575239,0.135475662,23,44,21,"updating","no",132,7.38139961995535
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.816749059,0.139758451,23,44,21,"updating","no",133,7.15520237126841
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.078607274,1.442673042,23,44,21,"shifting","yes",134,0.693157750153621
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.843201234,0.10184021,23,44,21,"updating","no",135,9.81930418250316
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.178787572,0.705517851,22,42,20,"updating","no",136,1.41739857975613
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.09677536,0.191753725,22,42,20,"inhibition","no",137,5.21502255040939
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.868679859,1.10200147,22,42,20,"updating","no",138,0.907439805865232
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.873047472,3.56477399,20,40,20,"inhibition","yes",139,0.28052269310908
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.499546884,287.2748595,8,16,8,"inhibition","no",140,0.00348098682126411
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.309599585,86.53385687,24,44,20,"inhibition","no",141,0.011556170453633
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.045564957,32.08436647,27,59,32,"inhibition","no",142,0.0311678275129738
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.108020582,40.91396419,27,59,32,"inhibition","no",143,0.0244415328555334
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.207958481,2981.080762,20,39,19,"inhibition","yes",144,0.00033544881197016
"psymetadata::maldonado2020::maldonado2020","psymetadata",-1.530310297,0.180335245,42,74,32,"inhibition","yes",145,5.54522772295565
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.011488414,0.135919971,42,74,32,"shifting","yes",146,7.35727055150711
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.646028752,0.095665583,42,74,32,"inhibition","no",147,10.4530800800116
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.427821174,433.691662,16,32,16,"inhibition","no",148,0.00230578562517995
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.156684126,0.08181221,29,57,28,"updating","no",149,12.2231143737591
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.226937586,0.082793534,29,57,28,"updating","no",150,12.0782378971768
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.193429613,0.077161589,29,57,28,"updating","no",151,12.9598160556284
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.98630137,0.075198942,29,57,28,"updating","no",152,13.2980594328043
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.462509121,0.39464112,29,57,28,"updating","no",153,2.53394780554039
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.960695832,1.237171466,29,57,28,"updating","no",154,0.808295395975452
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.821097611,1.246942036,29,57,28,"processing speed","no",155,0.801961896487063
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.179327522,0.078612242,29,57,28,"updating","no",156,12.7206650587576
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.547584683,0.816866284,29,57,28,"shifting","yes",157,1.22419056776739
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.911619179,5.726257796,29,57,28,"shifting","no",158,0.174634121554663
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.719707217,2.693967744,29,57,28,"inhibition","yes",159,0.37119969317643
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.337098305,0.185086278,16,31,15,"updating","no",160,5.40288567475542
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.497971471,0.181032177,16,31,15,"updating","no",161,5.52387987910017
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.581439424,1.779648287,16,31,15,"processing speed","no",162,0.561908781248977
"psymetadata::maldonado2020::maldonado2020","psymetadata",-1.796452384,0.146300993,16,31,15,"shifting","no",163,6.83522359961015
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.645353697,0.411165681,24,48,24,"processing speed","no",164,2.43210960012005
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.202381725,0.200625504,24,48,24,"shifting","yes",165,4.98441115442631
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.381859058,0.176701086,29,57,28,"updating","no",166,5.6592747822727
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.111873927,0.463301776,29,57,28,"updating","no",167,2.15842038991018
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.395227948,4.557793227,24,39,15,"shifting","no",168,0.219404424508791
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.873534258,1.842309294,24,39,15,"updating","no",169,0.542797022876008
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.042583675,0.166515234,24,39,15,"updating","no",170,6.00545653378477
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.350903958,4.817699681,16,31,15,"shifting","no",171,0.20756794034792
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.716579691,2.022664862,16,31,15,"updating","no",172,0.494397276972125
"psymetadata::maldonado2020::maldonado2020","psymetadata",-1.364845044,0.207345586,16,31,15,"updating","no",173,4.82286611107313
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.986730886,0.12860961,44,88,44,"shifting","yes",174,7.77546872274941
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.979972743,1.239022524,44,88,44,"shifting","yes",175,0.807087829825441
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.068423659,0.082069473,44,88,44,"updating","no",176,12.1847986034954
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.043020083,0.738467545,44,88,44,"inhibition","yes",177,1.35415565216207
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.118866288,0.114436176,20,40,20,"updating","no",178,8.73849542123812
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.35332077,0.119168025,20,40,20,"updating","no",179,8.39151274009954
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.696323942,32.99864444,20,40,20,"shifting","no",180,0.0303042751291877
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.313230642,13.95857299,52,129,77,"inhibition","yes",181,0.0716405610169754
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.257886186,2.56667867,16,27,11,"processing speed","no",182,0.389608567557855
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.053241101,8.607405399,16,27,11,"shifting","no",183,0.116179028829777
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.144356992,1.455564838,16,27,11,"updating","no",184,0.687018519473194
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.604050213,0.218928903,16,27,11,"updating","no",185,4.56769291901125
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.359942048,0.286255258,16,27,11,"updating","no",186,3.49338561319981
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.218162287,0.998739399,16,27,11,"updating","no",187,1.00126219212065
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.959127281,1.977959642,16,27,11,"updating","no",188,0.505571488298344
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.849095562,0.864122387,16,27,11,"updating","no",189,1.15724348199302
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.717559236,0.170010902,16,27,11,"updating","no",190,5.88197573353267
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.587998099,0.196936064,48,96,48,"processing speed","no",191,5.0777901197416
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.924272301,0.067014758,48,96,48,"updating","no",192,14.922086266431
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.983676565,0.32412608,48,96,48,"shifting","yes",193,3.08521918384352
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.029243697,0.153060262,22,32,10,"updating","no",194,6.5333744169339
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.435268111,0.147863771,22,32,10,"updating","no",195,6.76298185307339
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.715844219,3.149950488,22,32,10,"processing speed","no",196,0.317465307410254
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.294079342,2.473664386,22,32,10,"processing speed","no",197,0.404258558945838
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.256783024,12.31975161,22,32,10,"inhibition","yes",198,0.0811704676893238
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.36937164,17.32107664,22,32,10,"shifting","no",199,0.0577331317668022
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.009194495,0.555417087,22,32,10,"updating","no",200,1.80044874996797
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.26093808,0.254763001,22,32,10,"updating","no",201,3.9252167546888
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.005720459,5.39901313,15,34,19,"shifting","no",202,0.185219034649764
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.215272765,259.6674591,15,34,19,"inhibition","no",203,0.00385107939002435
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.289362683,0.13972493,14,30,16,"updating","no",204,7.15691895497818
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.82675321,0.148639466,14,30,16,"updating","no",205,6.72768832471451
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.890917174,64.35860497,14,30,16,"inhibition","no",206,0.0155379377857264
"psymetadata::maldonado2020::maldonado2020","psymetadata",10.58976654,70.04343787,20,40,20,"shifting","no",207,0.0142768549118904
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.34385321,0.111676681,20,40,20,"updating","no",208,8.95442084278991
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.390107296,0.10819429,20,40,20,"updating","no",209,9.24263193556702
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.086371018,0.055500736,67,134,67,"updating","yes",210,18.0177790795423
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.894196658,3.162557237,21,41,20,"processing speed","no",211,0.316199810805195
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.39126053,7.391440662,21,41,20,"shifting","no",212,0.135291622530514
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.804305179,0.10956323,20,40,20,"updating","no",213,9.12714968333811
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.62886505,32.73355052,18,37,19,"inhibition","no",214,0.0305496954688434
"psymetadata::maldonado2020::maldonado2020","psymetadata",2.104729487,117.1344283,20,40,20,"shifting","yes",215,0.00853719964756084
"psymetadata::maldonado2020::maldonado2020","psymetadata",0.351063429,0.019084171,227,323,96,"shifting","yes",216,52.3994466408837
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.2053589,0.021792822,227,323,96,"updating","no",217,45.8866685553619
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.337604341,0.20497456,227,323,96,"updating","no",218,4.87865420957606
"psymetadata::maldonado2020::maldonado2020","psymetadata",-0.723072552,0.031228032,227,323,96,"updating","no",219,32.0225110567326
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.599651797,115.0374462,28,47,19,"inhibition","no",220,0.00869282162489452
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.557851164,399.1572717,16,32,16,"inhibition","yes",221,0.00250527817203737
"psymetadata::maldonado2020::maldonado2020","psymetadata",1.032608949,1630.535775,74,146,72,"updating","no",222,0.000613295344593099
