"dataset","source","yi","vi","ux","uy","ryyi","rxxi","weight"
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.161386696131526,0.00409836065573771,1.02,0.89,0.63,0.71,244
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.192337169219545,0.00316455696202532,0.99,0.94,0.78,0.89,316
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.192337169219545,0.005,0.87,0.96,0.77,0.84,200
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0300090048631265,0.0029673590504451,0.97,0.94,0.87,0.79,337
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.0300090048631265,0.00259067357512953,0.92,0.95,0.8,0.8,386
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.100335347731076,0.00352112676056338,0.86,0.9,0.74,0.82,284
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0600721559210316,0.0078125,1.02,0.87,0.69,0.79,128
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.181982688600706,0.0136986301369863,0.98,0.95,0.83,0.77,73
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.21317134656486,0.00143061516452074,0.96,0.97,0.74,0.85,699
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.400059650056057,0.00258397932816537,0.94,0.95,0.86,0.77,387
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.161386696131526,0.0045045045045045,0.93,0.88,0.82,0.83,222
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.0500417292784913,0.00769230769230769,0.91,0.98,0.8,0.74,130
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",-0.120581028408444,0.00260416666666667,0.97,0.98,0.77,0.81,384
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.21317134656486,0.003690036900369,0.95,0.87,0.76,0.81,271
"psychmeta::data_r_bvirr::data_r_bvirr","psychmeta",0.435611223236224,0.00398406374501992,0.96,0.93,0.9,0.91,251
