"dataset","source","yi","vi","target_electrode_placement","return_electrode_placement","task","intensity","population","es_id","blinding","stimulation","weight"
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.390494994305077,0.185283780467666,"rIFG","supraorbital","SST","1 mA","healthy",35,"not reported","cathodal",5.39712649146053
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.542278349053642,0.188501495633008,"other","supraorbital","SST","1 mA","healthy",36,"not reported","anodal",5.30499769586387
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.343154658593088,0.0507359694982134,"other central","supraorbital","SST","1 mA","healthy",37,"not reported","anodal",19.709882552559
"psymetadata::schroeder2020::schroeder2020","psymetadata",-1.0264025032568,0.0565843881168239,"preSMA","supraorbital","SST","1 mA","healthy",38,"not reported","anodal",17.6727191594862
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.0462843134032874,0.0714476985506001,"other","xtc","GNG","1 mA","healthy",39,"not reported","anodal",13.9962520876972
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.0226844597622377,0.0714331659349527,"other","xtc","GNG","1 mA","healthy",40,"not reported","cathodal",13.99909953467
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.0556041358475999,0.125048309686302,"rIFG","other brain area","GNG","1 mA","healthy",41,"not reported","anodal",7.99690937453382
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.059164296633862,0.12505469396869,"rIFG","other brain area","GNG","1 mA","healthy",42,"not reported","anodal",7.99650111694622
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.559386492624349,0.0865928463346934,"rIFG","xtc","SST","2 mA","healthy",43,"success","anodal",11.5482980676586
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.488464120457962,0.0858187208018205,"rIFG","xtc","SST","2 mA","healthy",44,"success","cathodal",11.6524691892027
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.319127721377987,0.112525590313221,"preSMA","l cheek","SST","1.5 mA","healthy",45,"not reported","anodal",8.88686739804206
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.369000936016229,0.0847516842789672,"F3","supraorbital","SST","1.5 mA","healthy",46,"success","anodal",11.7991755386054
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.112446307583842,0.133544069534821,"F3","other brain area","GNG","1 mA","ADHD",47,"not reported","anodal",7.48816479446328
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.594214287374098,0.208827265482988,"F3","other brain area","GNG","1 mA","ADHD",48,"not reported","anodal",4.78864672047083
"psymetadata::schroeder2020::schroeder2020","psymetadata",-1.04696578821991,0.227403434042573,"other frontal","other brain area","GNG","1 mA","ADHD",49,"not reported","cathodal",4.39747097140488
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.711956923702665,0.0886133610542517,"F3","other brain area","GNG","1.5 mA","healthy",50,"not reported","anodal",11.2849799184095
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.333933889359902,0.0844949150256566,"other frontal","other brain area","GNG","1.5 mA","healthy",51,"not reported","cathodal",11.8350317258305
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.358813336847344,0.0495655305530459,"F3","supraorbital","GNG","1 mA","healthy",52,"not reported","cathodal",20.175311125335
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.182642413937983,0.0393792071145544,"F4","xtc","GNG","1.5 mA","other patients",53,"not reported","anodal",25.394112103146
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.147444386058797,0.039322254151864,"F4","xtc","GNG","1.5 mA","other patients",54,"not reported","cathodal",25.4308920373172
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.367170704994156,0.135580238776765,"other frontal","other brain area","SST","1.5 mA","healthy",55,"success","anodal",7.37570614288794
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.100466788176242,0.133501559592107,"other frontal","other brain area","SST","1.5 mA","healthy",56,"success","cathodal",7.4905491969932
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.199889471243635,0.0436954119604025,"F3","supraorbital","GNG","1 mA","healthy",57,"not reported","anodal",22.8856979516801
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.191667335602353,0.200918409188423,"other central","supraorbital","GNG","1.5 mA","healthy",58,"success","anodal",4.97714472277248
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.0969916857643341,0.125146990423553,"rIFG","supraorbital","GNG","1.5 mA","healthy",59,"success","anodal",7.9906036622659
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.173660227456067,0.0233560665085148,"F4","other brain area","GNG","2 mA","healthy",60,"success","anodal",42.8154286868225
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.150643298802487,0.100283667543426,"rIFG","other brain area","GNG","1.5 mA","healthy",61,"no blinding","anodal",9.9717134853187
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.0477595732641041,0.0571591498345598,"F3","supraorbital","GNG","1 mA","other patients",62,"success","anodal",17.4950117854163
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.0530602434006473,0.100035192367872,"F3","supraorbital","GNG","1.5 mA","ADHD",63,"not reported","anodal",9.99648200127988
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.730270496379012,0.106666187473521,"F3","supraorbital","GNG","1.5 mA","ADHD",64,"not reported","cathodal",9.37504211677431
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.00498469494076079,0.0785716544549163,"F4","supraorbital","SST","1.5 mA","healthy",65,"not reported","anodal",12.7272361379865
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.0856213064344079,0.0786380740997516,"F4","supraorbital","SST","1.5 mA","healthy",66,"not reported","cathodal",12.7164864023947
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.600814563554309,0.0818530480239645,"rIFG","supraorbital","SST","1.5 mA","healthy",67,"not reported","anodal",12.2170160322829
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.430763987605099,0.0802583159624963,"rIFG","supraorbital","SST","1.5 mA","healthy",68,"not reported","cathodal",12.4597680378353
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.0262640049616471,0.0833405187287148,"rIFG","supraorbital","SST","1.5 mA","healthy",69,"not reported","anodal",11.9989653922738
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.371755290377379,0.0866151615354188,"rIFG","supraorbital","SST","1.5 mA","healthy",70,"not reported","cathodal",11.5453228080753
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.357317915821775,0.0781507316631463,"other","xtc","GNG","2 mA","healthy",71,"success","cathodal",12.795785512416
"psymetadata::schroeder2020::schroeder2020","psymetadata",-1.12045570612036,0.289231905918052,"preSMA","l cheek","SST","2 mA","healthy",72,"not reported","anodal",3.45743322067424
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.18670567358008,0.111595264007597,"other frontal","l cheek","SST","1.5 mA","healthy",73,"success","anodal",8.96095375456007
"psymetadata::schroeder2020::schroeder2020","psymetadata",0.261387943012112,0.112060050788224,"other frontal","l cheek","SST","1.5 mA","healthy",74,"success","cathodal",8.92378678187329
"psymetadata::schroeder2020::schroeder2020","psymetadata",-0.806753031692022,0.144180840902404,"rIFG","supraorbital","SST","1.5 mA","healthy",75,"success","anodal",6.935734274687
