"dataset","source","yi","vi","ux","ryyi","rxxi","weight"
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",-0.0600721559210316,0.00423728813559322,0.58,0.76,0.6,236
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.151140435936467,0.00319488817891374,0.67,0.75,0.61,313
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.181982688600706,0.00531914893617021,0.57,0.85,0.58,188
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.2768638226551,0.00531914893617021,0.59,0.78,0.62,188
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.130739850028878,0.00581395348837209,0.54,0.87,0.57,172
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.223656109021832,0.00510204081632653,0.61,0.77,0.52,196
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0801713250375897,0.00546448087431694,0.52,0.84,0.5,183
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.266108406873654,0.00380228136882129,0.63,0.82,0.63,263
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.354092528962243,0.00384615384615385,0.62,0.73,0.62,260
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.181982688600706,0.00531914893617021,0.58,0.77,0.66,188
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.342828254415394,0.00284900284900285,0.74,0.82,0.66,351
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.100335347731076,0.0040650406504065,0.56,0.78,0.57,246
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.100335347731076,0.00398406374501992,0.65,0.76,0.61,251
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.266108406873654,0.00242130750605327,0.82,0.89,0.76,413
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",-0.0801713250375897,0.0120481927710843,0.43,0.78,0.56,83
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0300090048631265,0.00480769230769231,0.61,0.81,0.64,208
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.171666663500579,0.00340136054421769,0.73,0.82,0.74,294
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.161386696131526,0.00269541778975741,0.66,0.79,0.65,371
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.342828254415394,0.00343642611683849,0.81,0.8,0.78,291
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.309519604203112,0.0120481927710843,0.47,0.78,0.61,83
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.234189466759367,0.00259067357512953,0.72,0.89,0.6,386
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.110446915790097,0.00309597523219814,0.72,0.75,0.78,323
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.244774112659353,0.00307692307692308,0.61,0.79,0.5,325
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.110446915790097,0.00564971751412429,0.6,0.79,0.63,177
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.140925576070494,0.00591715976331361,0.57,0.84,0.56,169
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.120581028408444,0.0121951219512195,0.57,0.72,0.61,82
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.151140435936467,0.01,0.44,0.68,0.56,100
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.0400213538367682,0.00253164556962025,0.67,0.84,0.5,395
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.21317134656486,0.003690036900369,0.72,0.84,0.7,271
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.151140435936467,0.00581395348837209,0.55,0.81,0.58,172
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",-0.0400213538367682,0.00578034682080925,0.63,0.78,0.59,173
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.298566263660178,0.00961538461538462,0.53,0.8,0.52,104
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",-0.0300090048631265,0.00552486187845304,0.51,0.81,0.51,181
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.223656109021832,0.0024390243902439,0.73,0.86,0.64,410
"psychmeta::data_r_uvdrr::data_r_uvdrr","psychmeta",0.287682072451781,0.00757575757575758,0.46,0.81,0.46,132
