"dataset","source","yi","vi","z","year","z_se","sex","mean_age","weight"
"metaviz::brainvol::brainvol","metaviz",0.41180003447869,0.0106382978723404,0.41,2002,0.103,"men",67.8,94
"metaviz::brainvol::brainvol","metaviz",-0.130739850028878,0.0232558139534884,-0.13,2002,0.152,"men",NA,43
"metaviz::brainvol::brainvol","metaviz",0.0801713250375897,0.037037037037037,0.08,2002,0.192,"not reported",NA,27
"metaviz::brainvol::brainvol","metaviz",0.388423099718296,0.0256410256410256,0.39,2002,0.16,"mixed",14.9,39
"metaviz::brainvol::brainvol","metaviz",0.130739850028878,0.05,0.13,2002,0.224,"men",33.3,20
"metaviz::brainvol::brainvol","metaviz",0.497311287572031,0.2,0.5,2003,0.447,"women",NA,5
"metaviz::brainvol::brainvol","metaviz",0.171666663500579,0.25,0.17,2003,0.5,"men",NA,4
"metaviz::brainvol::brainvol","metaviz",-0.810743125475137,0.25,-0.81,2003,0.5,"women",NA,4
"metaviz::brainvol::brainvol","metaviz",0.810743125475137,0.25,0.81,2003,0.5,"men",NA,4
"metaviz::brainvol::brainvol","metaviz",0.354092528962243,0.0277777777777778,0.35,2003,0.167,"women",NA,36
"metaviz::brainvol::brainvol","metaviz",0.2768638226551,0.0166666666666667,0.28,2003,0.129,"men",NA,60
"metaviz::brainvol::brainvol","metaviz",0.202732554054082,0.0476190476190476,0.2,2003,0.218,"women",14.6,21
"metaviz::brainvol::brainvol","metaviz",0.266108406873654,0.1,0.27,2003,0.316,"men",14.5,10
"metaviz::brainvol::brainvol","metaviz",-0.130739850028878,0.0526315789473684,-0.13,2003,0.229,"mixed",16.4,19
"metaviz::brainvol::brainvol","metaviz",0.435611223236224,0.027027027027027,0.44,2004,0.164,"mixed",15.05,37
"metaviz::brainvol::brainvol","metaviz",0.472230804420426,0.010752688172043,0.47,2004,0.104,"mixed",18,93
"metaviz::brainvol::brainvol","metaviz",0.244774112659353,0.0285714285714286,0.25,2004,0.169,"women",15.9,35
"metaviz::brainvol::brainvol","metaviz",0.2768638226551,0.0285714285714286,0.27,2004,0.169,"men",15.9,35
"metaviz::brainvol::brainvol","metaviz",0.536060336610567,0.0769230769230769,0.54,2004,0.277,"mixed",14.86,13
"metaviz::brainvol::brainvol","metaviz",0.130739850028878,0.0769230769230769,0.13,2004,0.277,"men",15.5,13
"metaviz::brainvol::brainvol","metaviz",0.320545409301946,0.0714285714285714,0.32,2004,0.267,"mixed",43.62,14
"metaviz::brainvol::brainvol","metaviz",0.2768638226551,0.0625,0.28,2005,0.25,"men",23.5,16
"metaviz::brainvol::brainvol","metaviz",0.497311287572031,0.0555555555555556,0.5,2005,0.236,"mixed",8.42,18
"metaviz::brainvol::brainvol","metaviz",0.161386696131526,0.0263157894736842,0.16,2006,0.162,"mixed",15.1,38
"metaviz::brainvol::brainvol","metaviz",-0.100335347731076,0.0101010101010101,-0.1,2006,0.101,"mixed",79.5,99
"metaviz::brainvol::brainvol","metaviz",-0.110446915790097,0.1,-0.11,2006,0.316,"men",10.77,10
"metaviz::brainvol::brainvol","metaviz",0.497311287572031,0.05,0.5,2006,0.224,"men",21.41,20
"metaviz::brainvol::brainvol","metaviz",0.677666067757962,0.1,0.68,2006,0.316,"mixed",12.3,10
"metaviz::brainvol::brainvol","metaviz",0.287682072451781,0.0169491525423729,0.29,2007,0.13,"mixed",28.48,59
"metaviz::brainvol::brainvol","metaviz",0.435611223236224,0.0526315789473684,0.44,2007,0.229,"men",13.1,19
"metaviz::brainvol::brainvol","metaviz",0.400059650056057,0.024390243902439,0.4,2007,0.156,"mixed",40.8,41
"metaviz::brainvol::brainvol","metaviz",-0.618381313574464,0.0588235294117647,-0.62,2007,0.243,"not reported",10.5,17
"metaviz::brainvol::brainvol","metaviz",0.693147180559945,0.0526315789473684,0.7,2007,0.229,"women",34.32,19
"metaviz::brainvol::brainvol","metaviz",0.342828254415394,0.03125,0.34,2007,0.177,"men",37.77,32
"metaviz::brainvol::brainvol","metaviz",-0.110446915790097,0.024390243902439,-0.11,2007,0.156,"mixed",40.1,41
"metaviz::brainvol::brainvol","metaviz",0.234189466759367,0.0476190476190476,0.24,2007,0.218,"mixed",10.47,21
"metaviz::brainvol::brainvol","metaviz",-0.110446915790097,0.0416666666666667,-0.11,2008,0.204,"mixed",31.5,24
"metaviz::brainvol::brainvol","metaviz",0.181982688600706,0.0192307692307692,0.18,2008,0.139,"mixed",51.11,52
"metaviz::brainvol::brainvol","metaviz",0.234189466759367,0.111111111111111,0.23,2009,0.333,"mixed",9.25,9
"metaviz::brainvol::brainvol","metaviz",-0.110446915790097,0.125,-0.11,2009,0.354,"not reported",12.08,8
"metaviz::brainvol::brainvol","metaviz",0.202732554054082,0.004739336492891,0.2,2009,0.069,"mixed",9.1,211
"metaviz::brainvol::brainvol","metaviz",0.21317134656486,0.0104166666666667,0.21,2009,0.102,"mixed",78.4,96
"metaviz::brainvol::brainvol","metaviz",0.266108406873654,0.0158730158730159,0.26,2009,0.126,"mixed",10.5,63
"metaviz::brainvol::brainvol","metaviz",0.151140435936467,0.0454545454545455,0.15,2009,0.213,"women",33,22
"metaviz::brainvol::brainvol","metaviz",0,0.0476190476190476,0,2010,0.218,"women",15.75,21
"metaviz::brainvol::brainvol","metaviz",0.37688590118819,0.0434782608695652,0.38,2010,0.209,"men",15.75,23
"metaviz::brainvol::brainvol","metaviz",0.223656109021832,0.00613496932515337,0.22,2010,0.078,"women",10.88,163
"metaviz::brainvol::brainvol","metaviz",0.234189466759367,0.00714285714285714,0.23,2010,0.085,"men",10.95,140
"metaviz::brainvol::brainvol","metaviz",0.110446915790097,0.00432900432900433,0.11,2010,0.066,"mixed",68.69,231
"metaviz::brainvol::brainvol","metaviz",0.320545409301946,0.015625,0.32,2010,0.125,"mixed",33.34,64
"metaviz::brainvol::brainvol","metaviz",0.140925576070494,0.00154798761609907,0.14,2010,0.039,"mixed",11.8,646
"metaviz::brainvol::brainvol","metaviz",0.647522844827373,0.0909090909090909,0.65,2011,0.302,"men",18.5,11
"metaviz::brainvol::brainvol","metaviz",0.298566263660178,0.012987012987013,0.3,2011,0.114,"mixed",21.1,77
"metaviz::brainvol::brainvol","metaviz",0.2768638226551,0.00308641975308642,0.28,2012,0.056,"men",73,324
"metaviz::brainvol::brainvol","metaviz",0.266108406873654,0.00344827586206897,0.27,2012,0.059,"women",73,290
"metaviz::brainvol::brainvol","metaviz",0.171666663500579,0.0103092783505155,0.17,2012,0.102,"mixed",19.88,97
"metaviz::brainvol::brainvol","metaviz",0.423648930193602,0.037037037037037,0.42,2012,0.192,"men",15.1,27
